Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999-11-30,97.433517163,96.425360341,93.947759338,96.618014225,86.121271859,89.361861787,91.684566156,93.136827144,91.732352386,94.467428939,94.632568246,97.084963005,92.969198947,97.267912549,96.235727476,96.546699617,96.40360916,96.315749568,91.430997374,93.016680203,86.875362207,94.1976329,89.657613914,97.318231943,94.569661103,95.243003926,96.875706315,95.523165372,86.544362613,90.042453818,98.914828694,91.074711993,96.041840771,98.088517796,96.602052054,96.229427698,97.115324034,95.244517531,88.698971393,95.70046634,95.751563974,97.747500299,93.421947256,97.874523234,93.677437007,92.143160672,95.212457626,97.766594528,95.228473895,95.635100539
1999-12-31,97.617724254,96.279090065,94.455965683,96.562639554,87.575507151,90.030894936,92.383810861,93.226510043,92.322106858,94.760971517,95.455503274,97.307305129,93.278231992,97.31480347,96.264566523,96.539384413,96.68473811,96.407008702,91.684711183,93.198856346,87.47989911,94.503539493,90.197501828,97.738048436,94.939827135,95.310560768,97.273485775,95.781193938,87.249050138,90.528722862,98.921634826,91.689929988,96.246956606,97.862666712,96.587940424,96.167793485,97.488666933,95.467669672,89.429288552,96.186416164,95.955752176,97.942715237,94.031258933,97.824724125,94.045642718,92.318194279,95.751069152,98.177828563,95.647605573,95.757313473
2000-01-31,97.706095788,96.277502608,95.151200648,96.800918181,88.509968316,90.781181774,92.731402763,93.45128149,92.772490242,94.989737324,96.155087042,97.814585093,93.575453913,97.320505249,96.36145282,96.679910819,97.05729701,96.890231214,92.066878541,93.509942437,88.274289227,94.948192709,90.82735681,98.169319574,95.183229742,95.70254266,97.724456685,95.972276062,87.906489569,91.143710929,99.109531054,92.075966964,96.441104432,97.816926381,96.721230811,96.42666113,97.903798844,95.593323095,89.780217354,96.368009591,96.31186818,98.150661565,94.551507795,98.022257776,94.448368857,92.511905529,96.297020011,98.638813514,95.96611636,95.890201238
2000-02-29,97.884154235,96.41283769,95.915243779,97.330856623,88.853481736,91.772858226,92.918177494,93.747079809,93.288635994,95.429993904,96.543875498,98.505679366,93.998605641,97.634179433,96.821689012,97.163047248,97.543716996,97.5499175,92.589220365,93.855030352,89.16174555,95.623840337,91.589565466,98.42847844,95.59399966,96.293608012,98.185599214,96.208623922,88.652815253,91.662760754,99.308303088,92.191216356,96.737291671,98.022519543,97.506681948,97.0914458,98.32479676,95.823374919,90.090153873,96.618415911,96.834567814,98.436546184,95.019252456,98.47423271,94.936178437,92.976529121,96.682009515,99.142580619,96.345434709,96.196102314
2000-03-31,98.201233568,96.795127548,96.664138241,98.119934819,90.312861029,93.078295616,93.61732693,94.427410036,93.99784129,96.45821797,96.743414146,99.200882638,94.999271052,98.326286523,97.64636854,97.8744371,98.068480394,98.237553126,93.353482786,94.543162675,90.283029554,96.616953073,92.80515692,98.804536947,96.441546645,97.024768198,98.650406317,96.740529815,89.70675598,92.433365914,99.569575075,92.683176585,97.347643984,98.448418577,98.580983152,97.967851737,98.957005962,96.524646632,90.992445356,97.268107297,97.500953732,98.83877648,95.845904294,99.112750946,95.626313798,94.035878299,97.332506252,99.729146207,97.164805311,96.700362406
2000-04-30,98.783244633,97.368545101,97.315802009,98.852939072,91.961279265,94.307755627,94.899058435,95.461642909,94.680133275,97.608249376,96.837010043,99.811370231,96.132549205,99.134275446,98.569718432,98.634050258,98.744190624,98.811521555,94.484746359,95.462529698,91.664236353,97.680393598,94.250613029,99.333513545,97.484854314,97.86773076,99.14590334,97.423945672,91.06396549,93.506539715,99.959655171,93.785192948,98.217409875,98.969274028,99.327971917,98.75717997,99.595700777,97.534456078,92.494008398,98.160797774,98.330018785,99.336481613,96.753340209,99.72993724,96.504028515,95.295249282,98.227637215,100.41729884,98.120616298,97.318533289
2000-05-31,99.551984999,97.996638434,98.031141182,99.296234765,93.471633984,95.525904758,96.412950795,96.562137886,95.47375129,98.394213738,96.962832754,100.29849836,97.23289732,99.940480955,99.399342539,99.373059023,99.524363828,99.228345138,95.832850287,96.512301633,93.392846439,98.673414607,95.679360379,99.836437855,98.359461112,98.729851334,99.669920108,98.019457279,92.573376908,94.735105099,100.37417728,95.281474791,99.042364529,99.521625277,100.02846521,99.404129155,100.25428312,98.484861887,94.152175704,99.103281277,99.210900298,99.90126436,97.500224854,100.27689323,97.406159957,96.510954963,99.05230471,100.99054707,99.078199336,97.861835641
2000-06-30,100.01418246,98.53863605,98.53094018,99.417836974,94.667481517,96.793505412,97.876927525,97.502596826,96.397415466,98.810450948,97.159683571,100.51075666,98.19735718,100.50579286,99.938839895,99.950701889,99.954928769,99.563305681,97.080401454,97.580612813,95.188966124,99.330353301,96.862091893,100.19855953,99.00430756,99.295246465,100.17553471,98.425471342,94.053141667,96.072497988,100.72895516,96.89548479,99.52346271,100.03263115,100.56856439,99.884188711,100.58911744,99.261917164,95.677972346,99.804129457,99.926606711,100.29258152,98.107359606,100.66938792,98.1531472,97.510232891,99.537815621,101.21243952,99.848926994,98.089683599
2000-07-31,100.01315593,98.878750984,98.753860946,99.171739282,95.634637002,97.714016953,98.81527295,98.202956147,97.075794119,99.115227204,97.42895841,100.52508421,98.979366373,100.70488013,100.17537587,100.31209358,100.11336086,99.802798223,98.046110496,98.368597159,96.48016995,99.811665787,97.652501688,100.4110817,99.563546518,99.496434842,100.6155507,98.677197939,95.436337024,97.324759213,100.90065246,98.063334443,99.724979134,100.41773498,100.75999503,100.14085481,100.59975823,99.624539291,96.866862625,99.937654462,100.44115505,100.47463143,98.679095888,100.7866854,98.719195782,98.116798995,99.903592993,101.05936868,100.39263206,98.142893828
2000-08-31,99.831682681,99.08895207,98.89153745,98.928172883,96.467561184,98.197770916,99.173769645,98.79785456,97.55799973,99.386027986,97.89578863,100.48952296,99.447767795,100.71412541,100.30067816,100.53649175,100.16470978,99.980041145,98.661315569,98.611739001,97.318088264,100.22291738,98.235615698,100.58840866,99.866391006,99.517962082,100.87855634,98.904266596,96.668631049,98.081789895,100.79084589,98.636190003,99.67502067,100.57585009,100.72768748,100.37780755,100.59107573,99.681119611,97.644594775,99.773583493,100.74941273,100.43526383,98.953122546,100.63310966,99.222579228,98.470022863,99.984968704,100.71864564,100.73670725,98.470176993
2000-09-30,99.835365899,99.28862791,99.079315753,99.147662487,97.317283364,98.761650734,99.318886242,99.23813595,98.157012763,99.597273818,98.586067856,100.45036021,99.570754009,100.61724205,100.29261906,100.61166047,100.17370758,99.959944314,99.020887327,98.719192574,97.996101063,100.1991629,98.878521984,100.59487526,99.880869027,99.534450509,100.917916,99.24698433,97.690659389,98.306171004,100.66381544,98.980426686,99.58270989,100.48606193,100.59837511,100.599807,100.47221097,99.813392439,98.24298842,99.691131668,100.73079922,100.31447908,99.179690037,100.41630703,99.566482523,98.686017418,99.696471132,100.44319331,100.78176994,99.200350504
2000-10-31,99.989108926,99.50624487,99.408893528,99.525711935,98.370753291,99.34176096,99.45344137,99.482114929,98.762824465,99.80511698,99.264892516,100.4564162,99.716225926,100.43563241,100.06110048,100.46434916,100.27697685,99.909062219,99.301819812,99.040799785,98.618678115,100.1368882,99.428763698,100.31529278,99.866165069,99.655005161,100.65718003,99.610884094,98.540558068,98.75316482,100.59715896,99.302126721,99.763145512,100.29377212,100.58153647,100.62155589,100.33165379,99.893285577,98.869500226,99.676571489,100.40328579,100.30964022,99.674578413,100.29556584,99.714489009,98.979660105,99.693050313,100.2790532,100.64957179,99.912538225
2000-11-30,100.06712393,99.72956922,99.739931814,99.741435168,99.268725122,99.758438248,99.737849023,99.639105256,99.36638607,99.947195727,99.724546143,100.32880768,99.885356721,100.25695913,99.925821354,100.16806549,100.19926733,100.027528,99.619785641,99.480856332,99.314704786,100.15560788,99.708368867,100.01152863,99.932250059,99.789655253,100.23681933,99.817755606,99.320814644,99.431804064,100.30356421,99.717365547,99.993135533,100.10990158,100.42073557,100.38842903,100.13488451,99.954660656,99.511303443,99.778740886,100.0763841,100.2697559,99.961053107,100.16107252,99.779647371,99.495740391,99.894958535,100.10158019,100.45501501,100.16778996
2000-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2001-01-31,99.918739565,100.36630246,100.25193567,100.33439949,100.90561136,100.439183,100.28503258,100.61773596,100.43839914,100.16011887,100.38838401,99.853579266,100.0826076,99.730833747,100.11661255,100.16625322,99.955617057,99.937545613,100.51430398,100.42631564,100.73952618,99.867918983,100.4958472,100.12019858,100.1005718,100.31080999,99.997731711,100.28908109,100.4896319,100.60577794,100.06533875,100.1673382,99.809647678,100.03962498,99.754928694,99.841178659,100.22992576,99.956500994,100.3896851,100.10301644,100.1356812,99.852826647,100.33934479,99.835121896,100.53913792,100.46287633,100.32791342,100.16722752,99.883296446,99.788980368
2001-02-28,100.02550893,100.81567401,100.66127135,100.62495259,102.13857439,101.40604515,100.78581726,101.19508892,101.10159138,100.75444296,101.32252855,100.17940211,100.53285837,99.852504837,100.37195348,100.66997465,100.15014342,100.18960625,101.19052307,101.05502702,101.59309529,100.13889488,101.14761516,100.23964145,100.61551545,100.69612856,100.1668068,100.76727698,101.07939717,101.0269646,100.4101245,100.51214052,99.949229411,100.22905698,100.10859955,100.18965964,100.82805991,100.10989671,100.93025491,100.07811772,100.43334875,100.21647441,101.1639639,99.744169257,101.30537232,101.29478067,100.97318899,100.69689353,100.55376318,99.976844284
2001-03-31,100.40602557,101.40334197,101.40175151,100.9077412,103.61271952,102.5355707,101.654273,101.80337089,102.31094249,101.51519929,102.84292654,100.87204886,101.4923601,100.34195879,100.8700655,101.35956661,100.65910966,100.69316312,102.02875795,102.11927533,102.8812874,100.89673457,102.22390505,100.58111267,101.48348866,101.24616687,100.63069338,101.4183382,102.26852178,101.77673164,100.9031924,101.16319784,100.53831255,100.56088312,100.80130893,100.88192736,101.66195459,100.93573309,101.78004962,100.3271971,100.89875403,100.66891364,101.96537248,100.08364491,102.2425207,102.45576521,101.66505996,101.41722648,101.51568737,100.65074236
2001-04-30,101.04466239,102.14724982,102.18540722,101.2130828,104.9609667,103.60832344,102.87986458,102.57909761,103.36048391,102.22432207,104.40112092,101.76743942,102.6791654,100.94733761,101.45975094,102.05061278,101.33740535,101.25429598,103.17441648,103.43724257,104.54303642,101.6990452,103.83965035,101.05045716,102.36669572,101.93787581,101.3583141,102.12703701,103.99093642,103.14389363,101.49502628,102.14678663,101.09957625,101.11797983,101.55086497,101.75603014,102.45037411,102.09871964,103.22559268,100.99511058,101.59801788,100.97476206,102.56634063,100.72975719,103.43565907,103.76602907,102.43700351,101.91597712,102.54214242,101.59872953
2001-05-31,101.60354297,102.99284371,102.76232972,101.57750306,105.94789117,104.58205871,104.18642458,103.42932863,104.31685186,102.88143522,105.44711866,102.67448436,103.71605607,101.50669827,102.04918658,102.70176359,101.96678502,101.76985157,104.61419072,104.66144369,106.00832004,102.48546121,105.3499737,101.45168465,103.34351904,102.66662113,101.99382385,102.9607314,105.74694724,104.5496293,102.14472182,103.57496221,101.56214815,101.85608221,102.34329001,102.69052185,103.19550212,103.11234633,105.21610381,101.71751011,102.51237072,101.51330806,103.16787762,101.24295774,104.86444321,105.1511363,103.2084593,102.21116264,103.56537597,102.51240544
2001-06-30,101.85911611,103.90260882,103.3941155,102.13905076,106.787126,105.41506556,105.55884526,104.28037662,105.49227129,103.43115999,105.77559457,103.30350064,104.48495959,102.0211739,102.59200477,103.26346103,102.42449585,102.25632502,106.12935917,105.59927798,107.43759648,103.25274176,106.47128386,101.79441367,104.11255415,103.16330677,102.43600017,103.88656555,107.28268552,106.26618749,102.65415119,105.34327391,102.12183198,102.56337258,102.85295673,103.30608981,103.89053219,104.24186242,107.24643891,102.06596003,103.38285184,102.02226887,103.74472088,101.57134933,106.21140631,106.32669027,103.72679793,102.47433718,104.37806413,103.24299947
2001-07-31,101.96751047,104.83018119,103.92904574,102.73784847,107.5450785,105.98864037,106.93060914,105.14730131,106.56433176,103.84471395,105.79894357,103.6361112,105.33690796,102.34203974,102.83800342,103.71756638,102.63446539,102.69217384,107.51936996,106.63081749,109.05972982,103.75433142,107.45759743,102.20136355,104.44019764,103.36060505,102.79183168,104.71121268,108.50951194,108.03552571,102.94377954,106.83036136,102.45100353,103.14352306,103.19158796,103.48234753,104.39477177,105.18730161,109.01052358,102.20738886,103.81445481,102.12666236,104.00837547,101.69639146,107.17121047,107.10650328,104.1702336,102.57425999,104.97743406,103.87164155
2001-08-31,102.03389803,105.63987872,104.2177411,103.06673834,108.05580965,106.16988179,107.8508397,105.96019915,107.55122292,104.10798597,106.07240526,103.65041854,106.05083103,102.24965382,102.89362843,104.22535601,102.71465982,103.11155229,108.52981313,107.6151377,110.36625038,103.95627697,108.14233551,102.72944983,104.68992079,103.55441152,102.97470069,105.23101447,109.43909211,109.1245403,103.0699369,107.79320431,102.22869429,103.65401974,103.43857062,103.4602977,104.63927436,105.59835888,110.39568453,102.40198415,103.75851209,102.27798417,103.99335307,101.61131594,107.69915363,107.5915142,104.45888946,102.44864829,105.38070247,104.48802423
2001-09-30,102.10034197,106.139976,104.58011436,103.10253647,108.54628955,106.00788327,108.26147294,106.58101913,108.590615,104.30018242,106.69471963,103.36639948,106.37777844,102.06597036,103.03921326,104.73400982,102.90757276,103.50232118,108.95582256,108.39574048,111.04952095,103.83710525,108.69773291,103.08965531,105.12572806,103.77618854,102.95884512,105.59184545,110.18185876,109.81912316,102.94719298,108.3813557,101.99780324,104.02512289,103.43921348,103.5561844,104.62926836,105.65827744,111.46195268,102.59375727,103.60297049,102.60313499,104.07500428,101.34247769,107.95819899,108.06377662,104.49580122,102.23198797,105.52508784,105.0989225
2001-10-31,102.18864805,106.20266538,104.90852577,102.9932663,109.00744846,105.8140979,108.60069501,106.96634953,109.5726641,104.4490212,107.47618426,103.20894208,106.43682856,101.99953209,103.1914282,104.85731015,103.17193173,103.81407477,109.07804692,109.19947522,111.372948,103.58881572,109.05528252,102.95570788,105.54497056,103.85489994,102.93395008,106.03417409,110.8178575,110.40894894,102.79022961,109.00086554,101.99929485,104.10372988,103.26077345,103.65845615,104.49408652,105.73603592,112.29227643,102.84974034,103.64082767,102.79582849,104.10797625,101.23207374,108.1493174,108.37504868,104.24337543,102.03222527,105.5723411,105.54184973
2001-11-30,102.1995725,106.08225431,105.05375279,102.96227585,109.25602936,105.79148075,108.97433821,107.19185886,110.11708229,104.62875833,108.22148833,103.26691004,106.30206336,102.01363009,103.21364657,104.66722235,103.2341343,103.94854437,109.27143718,109.99023665,111.44172824,103.6027713,109.13210039,102.54595464,105.61394298,103.95177247,103.07047543,106.39162658,111.47295038,110.83786373,102.80550835,109.5791771,102.01220036,104.01776824,102.99309761,103.66050906,104.55048566,106.02516908,113.04092766,103.03464141,103.85462243,102.83192044,103.86255517,101.26024516,108.46502995,108.55082365,104.04343434,101.87606459,105.58253095,105.83446612
2001-12-31,102.18914957,106.1771513,105.25409951,103.16817909,109.7124767,105.92602408,109.21800527,107.45116794,110.36024027,104.91503336,108.77237514,103.28132294,106.26937854,102.11816363,103.14810423,104.55143105,103.14495746,103.7798191,109.66497086,110.48517696,111.23408243,103.83261782,109.2757749,102.37794362,105.6107945,104.25246089,103.37254451,106.66339999,111.96461129,111.15703048,102.92448286,109.83229864,102.09125378,103.93172021,102.96045439,103.74186903,104.86087706,106.27425392,113.84745438,103.21475059,104.14543927,102.90448835,103.66768329,101.21919532,108.94039031,109.12224439,104.29228021,101.83414052,105.65887379,106.27003573
2002-01-31,102.28892163,106.54822657,105.64024599,103.55930989,110.59612464,106.21772769,109.52176969,107.84655547,110.92923269,105.39769511,109.01852983,103.26763376,106.51403379,102.31658012,103.0412298,104.67464434,103.15309552,103.59881589,110.39774447,110.70743169,111.60047353,104.16796322,109.75911866,102.45562925,105.82708859,104.61125511,103.68171128,106.98316379,112.39053553,111.87249668,103.13674532,110.26037692,102.31959673,103.955872,103.22842742,103.87442342,105.19033254,106.79808163,114.77480783,103.53450461,104.58653157,103.07272186,103.87958797,101.32714231,109.50270775,110.05538296,104.84166446,102.02446073,105.8427594,106.94920104
2002-02-28,102.50002497,107.14644729,106.28995632,104.0159763,111.92284507,106.71269858,110.32537352,108.39060562,112.02516618,105.84269361,109.23663775,103.55701198,107.03962118,102.66012378,103.17859824,104.96677191,103.53319196,103.88523981,111.44740965,111.4024413,112.86191889,104.5414541,110.66547398,102.56816321,106.36518496,105.05798315,103.7614235,107.445273,113.26005213,113.19143839,103.45656352,110.80850449,102.79907679,104.24402697,103.65528115,104.18524421,105.69992336,107.5163399,116.01090287,103.69383953,105.19258109,103.22382165,104.49250607,101.66605508,110.25745674,111.11698853,105.5208901,102.47720823,106.15896645,107.64892084
2002-03-31,102.8705287,108.00554165,107.09460025,104.4169133,113.96820939,107.45380848,111.72802988,109.30123744,113.42602883,106.15585094,109.82735453,104.291539,108.06944181,103.15226975,103.92980212,105.46948454,104.26355677,104.59023708,112.70479476,112.9940117,114.63299741,105.19928857,112.00594124,102.81896418,107.05824029,105.88728872,103.9204253,108.15133805,114.64495996,114.86437507,104.1258995,111.69145639,103.47997688,104.90710156,104.31879813,104.85138347,106.48993082,108.16773573,117.78792752,103.89956033,105.85513744,103.51863769,105.26304875,101.99964105,111.33119228,112.32289502,106.30290313,103.35561541,106.86234788,108.25602243
2002-04-30,103.42888859,109.08483426,107.9035364,104.85989861,116.25936892,108.28803469,113.59693157,110.72703171,114.69331735,106.54567668,110.87474333,105.14619684,109.45432189,103.76145743,104.95922875,106.22981002,105.00436608,105.33336522,114.23220456,115.22317973,116.76865869,106.11214828,113.68282382,103.3099863,107.74737186,107.01083274,104.45584205,109.06809357,116.33946096,116.82696751,105.36907951,113.26929772,104.02652528,105.9909428,104.96273804,105.77903266,107.52886211,109.10476224,120.2927999,104.50582879,106.47705734,104.07803959,105.99085375,102.24865437,112.69742877,113.68356557,107.20584659,104.59587951,107.95189616,108.88446352
2002-05-31,104.0649951,110.13237258,108.57542415,105.52225203,118.40859829,109.07145312,115.68860892,112.46748175,115.93811448,107.02136983,112.14182111,105.84515256,110.77541625,104.22031191,105.81681963,107.05916778,105.52642753,106.0028722,116.09789511,117.44567056,118.76950959,106.93661932,115.29402872,103.92218624,108.55171861,108.07148506,105.13855353,110.08488834,118.06248495,118.89998743,106.73110977,115.16636715,104.39329669,107.31385286,105.60824027,106.59484799,108.6265045,110.41034271,123.36294673,105.09255396,107.0614014,104.68241408,106.7659555,102.56279393,114.06692285,115.25969946,108.14345429,105.59931805,109.13676873,109.67890216
2002-06-30,104.49377942,110.93162284,109.13713724,106.22738461,120.52574196,109.64394563,117.71402011,114.17311762,117.3754669,107.64631227,113.70490763,106.43941069,111.9223401,104.46520639,106.46655038,107.68546565,105.84512007,106.64423429,118.19719871,119.37324545,120.86901324,107.62928878,116.60026867,104.56921109,109.43291483,108.90649746,105.79827742,111.11175694,119.90498818,121.17782139,107.72960676,117.2336417,104.65603974,108.45940423,106.21266063,107.15149988,109.52762555,112.13054839,126.62761687,105.42823099,107.59388128,105.1047471,107.46012361,102.90634942,115.35093063,116.81241981,108.87262802,106.03338484,110.22307002,110.67830675
2002-07-31,104.82001899,111.51141332,109.79167044,106.6827141,122.61741549,110.01508084,119.29824589,115.51073196,118.88693015,108.16939506,115.58726625,106.94035347,112.77968154,104.75124817,106.94072182,107.97965283,106.04309994,107.17329284,120.17162099,120.90498862,122.90104524,108.03846123,117.82056818,104.99215414,110.22814199,109.47413647,106.34559237,112.11730958,121.78334524,123.41211549,108.29765581,119.43268552,104.86173246,109.12215467,106.55577588,107.49872605,110.16494413,113.56674463,129.4296337,105.62055958,107.89283625,105.2355995,107.83957306,103.04532695,116.50192376,118.11317957,109.18411662,106.06917046,111.08291878,111.69444597
2002-08-31,105.09144994,111.84122877,110.46794729,106.77502848,124.33376286,110.2270764,120.32571627,116.38039421,120.22585001,108.24145138,117.32538194,107.0721063,113.37631983,104.8629053,107.26210092,107.9717168,106.23216494,107.61455838,121.46089721,122.0402118,124.3457027,108.18307435,118.7522068,105.0130361,110.70882186,109.80655022,106.60025749,113.02887721,123.35994049,125.01495647,108.50582215,121.04417343,105.09137177,109.33256772,106.751551,107.58903246,110.60252583,114.16286262,131.40381037,105.82861079,107.94516562,105.25719099,107.9225639,102.81618932,117.22340426,119.16302701,109.24302961,106.0608428,111.55871845,112.47945078
