Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999-01-31,93.996294952,93.38345178,89.510972715,94.166884913,78.517025062,82.010900829,85.014497905,87.748898721,86.79005498,88.547904041,92.549882991,95.185009109,88.023927459,93.686291492,92.76459977,93.355323409,92.340992785,93.545097962,84.647760788,88.287645161,77.716643439,88.265474944,81.826656018,94.054188602,90.427243007,91.432048024,95.618168162,92.297159888,79.012605892,83.572163048,97.356718685,84.221672056,92.061567319,94.929768595,92.644310049,93.030495875,94.150527102,91.268599927,81.590140776,90.89398636,91.668851981,94.514188637,88.350928555,95.467421639,86.83345404,87.302683779,90.072042638,95.667278863,89.879436118,91.092459849
1999-02-28,94.295166149,93.623900116,89.967931377,94.151460764,79.240130377,82.544428143,85.301017188,88.210793773,87.252002894,89.08261256,93.216530265,95.85679757,88.292298625,93.892882563,92.517213022,93.32210334,92.822052456,93.696753002,85.168545318,88.604168024,78.355400002,88.727437161,82.237086312,94.411713868,90.85810509,91.706185887,95.266234034,92.451287692,79.401792805,83.764007101,97.523729338,84.492873949,92.439172437,95.312234312,93.121138524,93.147239028,94.626614252,91.436008881,81.728075143,91.328110019,92.173902232,94.964499118,88.815131123,95.712080861,87.02756417,87.688921364,90.817134746,95.81351146,90.292842381,91.210015955
1999-03-31,94.818711982,94.254621055,90.564311086,94.308057171,80.224085211,83.172332471,85.810737847,88.78535461,87.793717214,89.747360666,93.742803516,96.326480239,88.894414684,94.353237599,92.820889435,93.567473917,93.358482718,94.019535026,85.938186415,88.984067291,79.271360888,89.531685487,83.078009616,94.781051512,91.244740713,92.17346191,95.289541804,92.803468726,80.019064272,84.107513329,97.706732757,84.954322012,92.961880544,95.927290927,93.796763222,93.700703815,95.255458579,91.901047101,82.16270419,91.84509203,92.889327981,95.462608465,89.77091479,96.232280964,87.474764567,88.176953293,91.758952384,96.163281597,91.154370278,91.761099436
1999-04-30,95.310083159,95.154568225,91.075948825,94.771726866,81.399402248,84.073736437,86.848679813,89.486157375,88.285750461,90.46375797,94.097174131,96.640543835,89.821222087,94.866697481,93.573296515,94.226773544,93.854926855,94.49877296,86.912218684,89.699893445,80.391989977,90.492873595,84.269423597,95.327415655,91.666180528,92.878993356,95.732718695,93.223269364,80.874856237,85.028474299,97.850789093,85.705058276,93.599663184,96.579432848,94.459899449,94.386630061,95.855366493,92.594659774,83.106685607,92.600733057,93.802115506,95.773521474,90.571895896,96.829749608,88.254526099,88.899560947,92.614028599,96.666074122,92.150414044,92.679085705
1999-05-31,95.741459913,95.912282867,91.50430207,95.43828243,82.591329377,85.32268965,88.116749592,90.492274626,88.886994971,91.22217018,94.078723924,97.021628489,90.725129083,95.514251307,94.353418451,95.017099334,94.416443145,95.1388046,87.967713033,90.447189553,81.652602874,91.545945165,85.566540477,96.043187171,92.370828744,93.7641286,96.228929364,93.630949566,82.011051705,86.248790377,98.213668117,86.731098872,94.136056548,97.110654509,95.044651233,94.971321746,96.419714858,93.386745727,84.263025723,93.45638504,94.689692008,95.998219701,91.307191563,97.352296239,89.320678802,89.710085924,93.411621006,97.113371223,93.060867535,93.678554531
1999-06-30,96.178665883,96.378114871,92.042068903,95.986019675,83.519446439,86.57238138,89.426056559,91.656432593,89.623350264,91.928282971,93.610589501,97.432068499,91.522302261,96.122629916,95.073802889,95.545988098,95.026320924,95.771274932,88.910794538,91.106209889,83.052359882,92.522966188,86.859316536,96.666611354,93.316817351,94.676807482,96.538789873,94.081975093,83.300226191,87.624069049,98.641439176,88.077986721,94.702080255,97.580716173,95.685733698,95.633133695,96.814167229,94.329703344,85.288154361,94.224891698,95.328924928,96.315709204,92.107796727,97.725983974,90.529796914,90.358757987,94.130447917,97.344446448,94.002596259,94.47416921
1999-07-31,96.465501973,96.734153729,92.649512942,96.214317569,84.152918622,87.435186724,90.465201646,92.563450539,90.14032135,92.762823561,93.111685925,97.715606886,92.112910615,96.645487458,95.71765412,95.800713864,95.440483954,96.151274418,89.698390617,91.801120077,84.386787552,93.280812469,88.015791181,97.072171476,93.984194034,95.435498618,96.727881406,94.643179479,84.241638689,88.816816824,98.877351847,89.412627737,95.187447117,98.072221638,96.241399524,96.364696691,97.062483494,95.036969215,86.045300657,94.843561914,95.72064143,96.852375329,92.627765352,97.929548622,91.622433425,90.850167649,94.472844965,97.400606992,94.670740048,94.931344214
1999-08-31,96.698323183,96.992908652,93.145741631,96.308612431,84.681693182,88.072769954,90.940197686,93.063241367,90.461488528,93.4260497,92.993524726,97.788473601,92.541602778,96.920665664,96.067425724,96.07978608,95.65400798,96.255796206,90.343443605,92.437101025,85.356881174,93.733306556,88.880982374,97.324594151,94.186681127,95.762515151,96.782734261,95.149026795,84.780325807,89.34408898,98.964420919,90.469942756,95.440132869,98.456756955,96.631850433,96.805049233,97.350304007,95.163045238,86.540168685,95.124892356,95.842044904,97.389831239,92.956696952,97.953185269,92.403759437,91.419319146,94.684282258,97.416424418,94.90744977,95.192620074
1999-09-30,96.908878079,96.993371359,93.486673355,96.485091332,85.123104954,88.572733345,91.10228932,93.294895691,90.799633288,93.638695361,93.320982718,97.556384546,92.869581401,96.958165741,96.152282256,96.364190521,95.926054659,96.346997735,90.867314527,92.895897028,85.920469034,93.905736209,89.32157248,97.369595495,94.207712308,95.697727964,96.675682682,95.382880587,85.258453906,89.586663487,99.009468746,90.905650553,95.746250277,98.569327327,96.796558642,96.791082592,97.396291265,94.968304706,87.008879249,95.117830633,95.74196456,97.566003689,93.144225176,97.950203064,92.924569149,91.894714459,94.991734162,97.423064988,95.038906572,95.365296115
1999-10-31,97.135684918,96.731815191,93.724873113,96.66978032,85.575959323,88.94771657,91.227048478,93.26645928,91.199946094,94.020681787,93.923526372,97.205748126,92.956303511,97.088567644,96.179432151,96.517320296,96.183234643,96.390180803,91.222567572,93.069004676,86.412302282,94.038151327,89.466819215,97.253171683,94.285277921,95.465728122,96.655250957,95.412240686,85.852531346,89.824244772,99.001223198,90.842883917,95.935411937,98.389881833,96.684439109,96.502377638,97.164519693,95.013323642,87.773379735,95.242472672,95.672017377,97.607543686,93.197271808,97.965646363,93.318359081,92.070183073,95.115890339,97.492061574,95.098994089,95.493383753
